,0,1,2,3,4,5,6
0,78.699554,78.42701,79.56659,78.7838,78.47936,77.863,78.55533
1,66.87502,67.0389,68.34255,67.528366,66.00176,65.77643,66.31889
2,56.620434,57.34399,58.868694,58.137753,55.365726,55.6074,56.0138
3,46.558777,47.837845,49.601345,48.951927,44.96356,45.666183,45.94155
4,36.58785,38.42164,40.43288,39.864704,34.671787,35.829582,35.978207
5,26.671507,29.055134,31.316967,30.828508,24.444336,26.054058,26.078693
6,16.813423,19.735727,22.245752,21.836506,14.29104,16.339512,16.242487
7,7.151092,10.503863,13.234912,12.906622,4.7052956,6.841847,6.6416254
8,1.646031,2.7708654,4.682639,4.4794545,1.5170836,1.6218619,1.5939839
9,1.5165442,1.5166094,1.5222572,1.5202907,1.5167955,1.5167246,1.5164274
10,1.5174425,1.517504,1.5170885,1.5169531,1.5165186,1.5166363,1.5163358
11,1.5160022,1.5159962,1.5159312,1.5158596,1.5157304,1.5155869,1.5157522
12,1.2510337,1.3321451,1.3829627,1.4299868,1.4279644,1.5127836,1.5118365
13,0.5213473,0.5970589,0.70280874,0.7904125,0.8509609,1.4434106,1.4737798
14,0.4565859,0.52207667,0.62572646,0.65309936,0.7183122,1.0587292,1.2850935
15,0.42244726,0.49701655,0.56628144,0.5907937,0.6360567,0.73342216,0.99388653
16,0.4104836,0.4807593,0.53556406,0.56337845,0.5970594,0.6566217,0.8133865
17,0.40098912,0.47107935,0.51581734,0.5420752,0.5744582,0.6253305,0.7380444
18,0.40074003,0.46298987,0.49981076,0.5305383,0.55948454,0.6015167,0.6911491
19,0.3972675,0.45897195,0.49243772,0.51916,0.55099416,0.5930082,0.6802332
20,0.39692897,0.45725697,0.4859643,0.5107588,0.53866094,0.5794344,0.66148067
21,0.39090425,0.4505525,0.47762242,0.5024287,0.53185,0.5709229,0.64604765
22,0.38851702,0.44685894,0.47610942,0.49738103,0.5261464,0.561939,0.6302267
23,0.38640872,0.44367743,0.47276914,0.49204618,0.51922077,0.55474246,0.6224268
24,0.3880052,0.44358423,0.46747914,0.48650184,0.51431835,0.552442,0.6196127
25,0.38270846,0.43888974,0.46301162,0.48169932,0.50967526,0.54462755,0.61534154
26,0.38074213,0.43508247,0.45708284,0.4774668,0.5047692,0.5406203,0.60656667
27,0.38269666,0.43571576,0.45607242,0.4717431,0.49721277,0.5313728,0.5944651
28,0.38104543,0.43428627,0.45314476,0.46951374,0.49694487,0.5319504,0.5963151
29,0.37956983,0.43206617,0.45083448,0.46777278,0.49113792,0.52466905,0.59101903
30,0.378283,0.4302509,0.44670957,0.46279803,0.48773134,0.5211386,0.58100545
31,0.37765652,0.42647523,0.4444173,0.46091822,0.4830772,0.51317954,0.573829
32,0.37686333,0.42601866,0.4448796,0.4582703,0.4826038,0.5137085,0.57749593
33,0.3763678,0.4245808,0.44179955,0.45375487,0.4751931,0.506805,0.57010984
34,0.3759791,0.42471763,0.4430498,0.45231882,0.4739677,0.5074415,0.57008153
35,0.3744919,0.4207619,0.43805018,0.45177093,0.4709708,0.50154537,0.56295085
36,0.37268364,0.4187492,0.43593934,0.44877502,0.46915978,0.50176704,0.56699777
37,0.3728156,0.4177918,0.43417028,0.44622084,0.46438077,0.49492207,0.55774397
38,0.37156162,0.41499385,0.43295082,0.44234887,0.45998976,0.48907858,0.55534655
39,0.37011862,0.41579503,0.4314662,0.4408559,0.45681542,0.49081624,0.5562355
40,0.37005493,0.41512537,0.42831442,0.4372825,0.45619196,0.48614183,0.5509123
41,0.37026304,0.4128915,0.4263918,0.43456727,0.45266324,0.48392877,0.54943085
42,0.36827558,0.4113664,0.4283808,0.43630016,0.45366228,0.48449084,0.5517719
43,0.36850765,0.41074207,0.42596984,0.43171808,0.44791782,0.48090428,0.5481842
44,0.36731738,0.40927887,0.42209345,0.43016803,0.44529322,0.474953,0.54194295
45,0.36765936,0.4079467,0.42057604,0.4280727,0.4445842,0.47308344,0.5366991
46,0.36587274,0.40721777,0.4197235,0.42642853,0.44001997,0.46960697,0.5369929
47,0.36556873,0.40469775,0.416898,0.4226235,0.43781465,0.4680745,0.5330418
48,0.36399662,0.4018287,0.41509593,0.4195814,0.43573257,0.46695483,0.53589803
49,0.36311415,0.40209728,0.41375983,0.42183602,0.43501794,0.46463794,0.5342286
50,0.36149293,0.40040472,0.41209096,0.41721645,0.43095306,0.4590098,0.5264954
51,0.3625532,0.39975327,0.41319034,0.41715625,0.4286728,0.4585013,0.52669793
52,0.36226416,0.3960141,0.4081895,0.41406438,0.4266939,0.45681784,0.52476513
53,0.36175767,0.3987782,0.40798667,0.41367453,0.427363,0.4564398,0.52165765
54,0.3590544,0.39599344,0.4061155,0.41367716,0.42290035,0.45287797,0.5209295
55,0.35825405,0.3938816,0.40305606,0.41057837,0.41899577,0.44869912,0.5166104
56,0.35924286,0.39291057,0.40353042,0.41003156,0.4198924,0.44922954,0.5159586
57,0.35634235,0.38944408,0.4001345,0.40604383,0.41529372,0.44357428,0.51449406
58,0.354589,0.38906065,0.40004307,0.40587696,0.41544682,0.4432639,0.5115021
59,0.3549492,0.38744357,0.39836928,0.40273273,0.41458306,0.44313988,0.5106013
60,0.3538766,0.3880466,0.39583522,0.40128666,0.41144127,0.4363791,0.5070425
61,0.35457635,0.38599646,0.39468378,0.39917043,0.410446,0.43832594,0.5101959
62,0.3546678,0.38554254,0.39457658,0.4002834,0.40774795,0.43593636,0.505953
63,0.3507288,0.38338783,0.39218184,0.39756143,0.40659517,0.43625978,0.5051688
64,0.35077223,0.3806602,0.3883108,0.39685762,0.40439424,0.4309274,0.5010641
65,0.35014516,0.3801104,0.3876396,0.39461055,0.40231386,0.42706755,0.5012555
66,0.35176224,0.37877277,0.38655308,0.3940903,0.40191606,0.42775998,0.5010635
67,0.34821656,0.37848198,0.38487133,0.39343712,0.4010021,0.42822862,0.4976656
68,0.34788218,0.37604085,0.38391343,0.3906247,0.3982564,0.4221438,0.49186745
69,0.34668112,0.37483174,0.3793068,0.38982806,0.39607996,0.42240083,0.49387744
70,0.34551275,0.3714375,0.37947285,0.38977814,0.39814416,0.42452246,0.49235967
71,0.34630457,0.37086585,0.37827143,0.38814077,0.39422464,0.41960838,0.48837823
72,0.34275904,0.3677593,0.37300065,0.38319188,0.3909002,0.4127278,0.48090035
73,0.34250605,0.36768553,0.37381387,0.38181692,0.3888028,0.41377795,0.48148537
74,0.34080142,0.36661264,0.37305957,0.3819104,0.38845214,0.4148212,0.48580137
75,0.34030446,0.36710668,0.37210763,0.38118696,0.3867981,0.41113302,0.48423725
76,0.3415354,0.36331132,0.36753064,0.37886664,0.38323846,0.40610185,0.47582462
77,0.3394217,0.36245093,0.37031743,0.3795713,0.3847483,0.40810832,0.47668153
78,0.3392827,0.36104563,0.3693271,0.3782111,0.38372695,0.40525383,0.47524622
79,0.33838215,0.36061135,0.3655374,0.37319311,0.3790809,0.40433437,0.47635487
