,0,1,2,3,4,5,6
0,29.092026,23.92461,43.564247,30.095448,39.639416,41.1826,31.304428
1,2.0621486,2.0592976,2.076006,2.0983474,2.0895507,2.1099403,2.1436677
2,1.8122581,1.866473,1.9068764,1.9518017,1.9875757,2.0179086,2.0454962
3,1.7628171,1.818672,1.8658817,1.9128602,1.9525307,1.9837453,2.0131457
4,1.7641559,1.8205407,1.8576188,1.9124148,1.9488885,1.9774318,2.0116355
5,1.7638034,1.8210012,1.8645507,1.9198924,1.9637573,1.998106,2.0358887
6,1.7664092,1.824817,1.8652227,1.9199584,1.962219,1.9905595,2.022987
7,1.7417418,1.8045062,1.8493733,1.9031771,1.9434439,1.9785422,2.0147202
8,1.7450681,1.8069096,1.8503207,1.8977538,1.9392289,1.9699715,2.005394
9,1.734219,1.7921252,1.8420475,1.8820469,1.9274697,1.9600502,1.9850658
10,1.7336941,1.7931826,1.8413723,1.8870122,1.934562,1.9625876,1.9959255
11,1.7349516,1.7933387,1.8393385,1.8908992,1.9350075,1.9596939,1.9859576
12,1.732942,1.7954959,1.8429229,1.8915279,1.9318112,1.9631349,1.9905046
13,1.7214469,1.7817872,1.8310525,1.8813004,1.9280083,1.955446,1.9810216
14,1.7268758,1.789867,1.8342577,1.8812838,1.92742,1.957724,1.983368
15,1.7360063,1.7883351,1.8392055,1.8886608,1.9350786,1.9635906,1.9907514
16,1.7153419,1.7781407,1.8188938,1.8635715,1.9048468,1.9351996,1.9600763
17,1.732444,1.7886577,1.8343027,1.880666,1.9261638,1.9530894,1.9804202
18,1.7241657,1.7769877,1.8237528,1.87068,1.9175817,1.9454949,1.9753736
19,1.7212812,1.7818354,1.8251915,1.8734179,1.9169846,1.9447271,1.9701482
20,1.7241617,1.7799399,1.819029,1.8641366,1.9106412,1.9345864,1.9650809
21,1.716361,1.7758377,1.8192333,1.8615992,1.9046205,1.9357892,1.9573461
22,1.7090461,1.7685493,1.8150392,1.8607011,1.9070647,1.9359094,1.9583186
23,1.712064,1.7692543,1.8165894,1.8632066,1.9094471,1.9377275,1.9628464
24,1.712422,1.7769018,1.8322849,1.8788613,1.9256858,1.9472413,1.9685675
25,1.7049181,1.7664989,1.8181443,1.8642148,1.9127917,1.9366658,1.9591244
26,1.7035949,1.7654139,1.8156515,1.8644651,1.9145195,1.9357425,1.9530115
27,1.7205505,1.7739241,1.8227628,1.863091,1.9084618,1.9327351,1.9541107
28,1.6939213,1.7517107,1.7927424,1.8378675,1.8878112,1.9134247,1.937863
29,1.7017189,1.7589515,1.8043323,1.845033,1.8909101,1.9122041,1.9337986
30,1.7015644,1.7591472,1.8015498,1.8446629,1.884344,1.9128304,1.9373304
31,1.712088,1.7682338,1.8135514,1.859201,1.9088988,1.9260855,1.9413692
32,1.6925099,1.743024,1.7906787,1.8339099,1.8822945,1.9069692,1.92375
33,1.6991051,1.7546432,1.8033346,1.8466359,1.8960419,1.9167098,1.9283444
34,1.6828555,1.738159,1.7835295,1.827761,1.870574,1.8965999,1.9192541
35,1.7085953,1.764051,1.8072741,1.8451437,1.8941575,1.9165789,1.934165
36,1.6922747,1.7410778,1.7871274,1.8273715,1.8771772,1.899464,1.9160713
37,1.680278,1.7363353,1.7817502,1.8223416,1.8726598,1.8930224,1.905434
38,1.6871638,1.7403651,1.7862811,1.8249488,1.8714527,1.8918997,1.9064555
39,1.6919327,1.7428132,1.7911024,1.827715,1.8733937,1.8978498,1.9138479
40,1.7051089,1.7561854,1.8032465,1.8383204,1.8891184,1.9121695,1.928506
41,1.6821158,1.7325513,1.7809776,1.8206514,1.8705441,1.895377,1.9048096
42,1.6854339,1.7420126,1.7927537,1.832278,1.8791347,1.8939753,1.9070786
43,1.6794853,1.72948,1.7729919,1.8071883,1.8547231,1.8767747,1.892496
44,1.6835377,1.7314212,1.777405,1.8156409,1.8674412,1.8833897,1.8964889
45,1.6830927,1.7316862,1.7746934,1.8122196,1.8578656,1.8776386,1.8935366
46,1.6822588,1.7407079,1.7847223,1.820856,1.8633518,1.8775302,1.8879234
47,1.6845295,1.7332708,1.7796068,1.8123344,1.8599133,1.8797783,1.8969419
48,1.6665078,1.7161647,1.7618068,1.8001422,1.8497946,1.8683244,1.8801253
49,1.6757607,1.725424,1.7688149,1.8040012,1.856977,1.8773704,1.8908654
50,1.6668556,1.719765,1.7625763,1.8017511,1.8524741,1.8682961,1.8809212
51,1.6526073,1.7092015,1.7644472,1.7984248,1.848183,1.8680127,1.8745158
52,1.666408,1.7184627,1.7657942,1.8005322,1.843993,1.8615162,1.871208
53,1.6558893,1.7069873,1.7591996,1.7852787,1.8388673,1.8600056,1.8650272
54,1.6584551,1.7093222,1.757283,1.7940394,1.8432933,1.855868,1.8651747
55,1.6638895,1.7120777,1.7610302,1.7914401,1.8379745,1.8570657,1.8641722
56,1.6365142,1.6898407,1.7403995,1.7713162,1.8206847,1.8387932,1.8464339
57,1.6583475,1.7155837,1.7642366,1.7960179,1.8446056,1.8635132,1.8680166
58,1.67628,1.7220917,1.7656088,1.7957907,1.8424764,1.8541543,1.860405
59,1.6597439,1.7159019,1.7655538,1.7957451,1.8419416,1.8587369,1.8641715
60,1.6754869,1.7253603,1.7699665,1.8033527,1.8525401,1.8648254,1.8693632
61,1.6533552,1.6962703,1.7434763,1.7684333,1.8231467,1.8364079,1.8451807
62,1.6488545,1.6971288,1.7465816,1.7715334,1.8212751,1.837177,1.8406609
63,1.6548723,1.6951634,1.7364753,1.7607129,1.8157034,1.8307405,1.8411516
64,1.6341344,1.6859713,1.7291069,1.7584299,1.813625,1.8299913,1.8305109
65,1.6209842,1.6683377,1.7166736,1.7420164,1.8023561,1.8123287,1.8110927
66,1.6406696,1.6854482,1.7246805,1.7517971,1.8004761,1.8167484,1.8238778
67,1.6440481,1.6910261,1.7331115,1.7581942,1.808779,1.8240452,1.8277694
68,1.6371584,1.6832962,1.7258769,1.7508631,1.8021314,1.8131869,1.8181814
69,1.632036,1.6770338,1.7275097,1.7509063,1.7990369,1.81425,1.8148638
70,1.6236554,1.6662939,1.711672,1.7359227,1.7865356,1.7951072,1.796804
