,0,1,2,3,4,5,6
0,79.26244,80.41683,82.04618,81.69339,81.64274,81.83857,81.03202
1,68.46308,70.2906,72.88349,72.65532,72.874825,73.28681,70.387115
2,59.02448,61.333107,64.964966,65.27421,65.313896,65.21149,60.938118
3,49.744873,52.742603,57.3053,58.13307,57.97505,57.720234,51.96734
4,40.53938,44.270256,49.45059,51.088905,50.726177,50.378613,42.90542
5,31.376368,35.85479,41.695793,44.09101,43.52146,42.807823,34.01294
6,22.252481,27.481653,34.033154,37.12625,36.34787,35.24514,25.186253
7,13.183481,19.145746,26.41836,29.903837,29.196394,27.925287,16.464836
8,4.59526,10.883432,18.846375,22.85945,22.06933,20.655993,7.9001617
9,1.521086,3.436963,11.337686,15.904309,14.973127,13.440647,1.9373568
10,1.5174172,1.5177585,4.259121,9.032569,7.97647,6.39706,1.5163095
11,1.5159018,1.5159637,1.5292838,3.0016403,2.3750403,1.8070223,1.5157087
12,1.5153766,1.5153669,1.5152622,1.5168235,1.5159128,1.5152402,1.515349
13,1.5159452,1.515991,1.5161666,1.516237,1.5161244,1.5163358,1.515466
14,1.516742,1.5164945,1.5164949,1.5164827,1.5170094,1.516736,1.5171864
15,1.3832787,1.4357415,1.429913,1.44602,1.4442213,1.4501023,1.4337716
16,0.63752794,1.1399939,1.1283805,1.2228234,1.2535484,1.2892659,1.3133658
17,0.48480833,0.6669352,0.78579795,0.7944376,0.86726356,0.9593222,1.0668801
18,0.43717042,0.56083596,0.6490892,0.67097634,0.71911085,0.7693522,0.83347106
19,0.41800642,0.5154656,0.5938439,0.61628747,0.6595781,0.7024915,0.756188
20,0.41631064,0.50321573,0.57042557,0.5941667,0.6303246,0.67303544,0.7267814
21,0.40861043,0.48542532,0.54281706,0.5662854,0.6039099,0.6446803,0.69877625
22,0.4077783,0.48115703,0.5369894,0.56074625,0.59764206,0.6362697,0.6881649
23,0.40499344,0.47327977,0.5198507,0.5446695,0.57732254,0.61757606,0.6676008
24,0.40429068,0.46788105,0.5095986,0.5322567,0.5632366,0.6023135,0.6559055
25,0.39977083,0.45895305,0.49574655,0.51997745,0.5515696,0.58967525,0.6413196
26,0.3978336,0.45563647,0.48728108,0.5149792,0.5445187,0.5830587,0.6378047
27,0.3978886,0.45291892,0.47959498,0.5005892,0.52981347,0.5653775,0.62034076
28,0.39567915,0.4500206,0.4768019,0.49775508,0.52600926,0.5619839,0.6152132
29,0.39518327,0.45061624,0.47191116,0.4928811,0.52047414,0.55804706,0.61107427
30,0.39286837,0.44424593,0.4656263,0.48698255,0.5130069,0.5469844,0.59859526
31,0.391672,0.4408364,0.46013153,0.48393783,0.5038489,0.5390962,0.59381485
32,0.39215735,0.44159698,0.4598528,0.477102,0.5014016,0.5358728,0.5899507
33,0.39107823,0.4405522,0.45632672,0.47644094,0.49715993,0.53389704,0.5901364
34,0.39135787,0.44324747,0.4568323,0.4698741,0.4921842,0.52859527,0.584279
35,0.38789126,0.43684676,0.450605,0.4678751,0.48728895,0.52136314,0.5730807
36,0.38860378,0.43527535,0.4503358,0.46541822,0.48321903,0.5177325,0.5726744
37,0.38942525,0.43537268,0.44695258,0.46108752,0.47914472,0.514188,0.5684898
