,Iron_ore_mix_ratio,coke_ratio,quick_lime,returning_sinter,light_burning,second_water,bed_depth,trolley_speed,flue_temp,ignition_temp,pressure_flue
0,0.5695816864295126,0.05146574440052701,0.06431159420289856,0.2781620553359684,0.036478919631093544,5.886,726.659,2.31,144.0,1065.0,526.984
1,0.5712646504384886,0.05286451930169659,0.06327350217195313,0.27653471026965,0.03606261781821163,5.744,734.147,2.311,142.0,1046.0,500.611
2,0.5763832218051249,0.051901419944507914,0.06324465480659378,0.2722376366900604,0.03623306675371307,6.139,741.636,2.255,142.0,1027.0,499.634
3,0.5852189483965489,0.05168484453849911,0.06446361712518314,0.26314504313853165,0.03548754680123718,6.3,784.371,2.252,142.0,1014.0,506.471
4,0.5858218014081088,0.05017399045075666,0.0636076717649915,0.2643036335680181,0.03609290280812495,6.502,770.533,2.254,144.0,990.0,500.611
5,0.587270660821562,0.05146939438220491,0.06080532553986038,0.26392271472641665,0.036531904529956166,6.352,793.244,2.26,144.0,990.0,496.703
6,0.5855973813420622,0.052291325695581016,0.0630114566284779,0.2621112929623568,0.03698854337152209,6.421,786.162,2.254,144.0,997.0,488.889
7,0.5796959293771456,0.05214974660781428,0.062448912865783884,0.26933137158737946,0.036374039561876736,6.07,788.523,2.262,144.0,988.0,480.098
8,0.5729610219456273,0.0534719947592532,0.0630527350147396,0.273419587291189,0.03709466098919095,6.212,781.115,2.257,144.0,992.0,484.982
9,0.5732971372161895,0.05190852254030931,0.06474169134583745,0.2736097400460678,0.036442908851595915,6.245,774.929,2.252,144.0,999.0,501.587
10,0.5703009373458312,0.05377405032067094,0.06405196513731294,0.2748725538562736,0.0370004933399112,6.579,766.789,2.264,143.0,1015.0,477.167
11,0.5757991604778818,0.05295447206974491,0.06344849854698094,0.27227962544397805,0.035518243461414266,6.366,786.162,2.206,144.0,1020.0,488.889
12,0.579964424320828,0.053363518758085385,0.061448900388098325,0.26908150064683056,0.036141655886157836,6.421,771.998,2.21,144.0,1019.0,491.819
13,0.5872668288726682,0.051743714517437145,0.06261151662611517,0.2615571776155718,0.036820762368207624,6.088,784.127,2.204,146.0,1012.0,491.819
14,0.5839061868176305,0.05272947836635665,0.06429437929640114,0.2627577840679337,0.03631217145167813,5.905,797.802,2.215,146.0,1010.0,485.958
15,0.5789431091688921,0.05203528364489762,0.06231285910819778,0.2704539936877883,0.036254754390224166,6.495,789.255,2.206,147.0,1011.0,483.028
16,0.5770417275531743,0.052281214482870604,0.06299723981165774,0.2712290956324078,0.036450722519889595,6.249,796.825,2.156,147.0,1023.0,494.75
17,0.5710942543576502,0.05309877340219496,0.06205616526791478,0.2775984506132989,0.036152356358941255,6.385,772.894,2.159,147.0,1017.0,493.773
18,0.5790081689908408,0.05346975823087714,0.0641142008416536,0.2667711857413978,0.036636686195230625,6.322,800.977,2.106,147.0,1022.0,493.773
19,0.5783024262723633,0.052528388203578136,0.06265827955232416,0.27089290090678864,0.035618005064945675,6.359,783.801,2.109,146.0,1038.0,477.167
20,0.5777095288127374,0.05301866968398933,0.06489937767720035,0.26808373070395214,0.03628869312212075,6.311,787.79,2.101,146.0,1044.0,489.866
21,0.5852180936995153,0.05331179321486267,0.06203554119547657,0.26308562197092084,0.03634894991922455,6.216,784.371,2.104,146.0,1040.0,484.005
22,0.5813747585318737,0.051513200257566,0.06286220218931102,0.2681101094655506,0.03613972955569865,6.407,756.695,2.1,145.0,1047.0,491.819
23,0.5861709798894319,0.05304062174505248,0.0613732873968432,0.26328018588254143,0.03613492508613091,6.429,776.231,2.108,145.0,1042.0,492.796
24,0.5697436317470719,0.0525841592267999,0.06405110983700549,0.27668113686624624,0.036939962322876566,6.615,750.916,2.111,144.0,1039.0,481.074
25,0.577023498694517,0.05205613577023499,0.06315274151436032,0.2711325065274152,0.03663511749347259,6.454,759.463,2.113,142.0,1025.0,470.33
26,0.577335754374381,0.053235391218223835,0.06470782436447672,0.2676625949158138,0.037058435127104654,6.348,757.916,2.11,142.0,1008.0,467.399
27,0.5764880706678774,0.054156691158259725,0.06505407413522661,0.26756377445719476,0.03673738958144143,6.282,762.556,2.107,141.0,1007.0,456.654
28,0.5784716516023007,0.05283483976992604,0.06310599835661461,0.2692686935086277,0.036318816762530806,6.158,741.799,2.114,138.0,1014.0,455.678
29,0.5857049926817368,0.05293543665636689,0.06334363311107497,0.262400390307367,0.03561554724345422,6.407,753.846,2.112,137.0,1010.0,442.002
30,0.581327967806841,0.051589537223340046,0.06132796780684105,0.26969818913480886,0.03605633802816902,6.491,750.183,2.107,137.0,1008.0,451.77
31,0.5817768393698229,0.05205457203183368,0.06334253694981323,0.26595744680851063,0.03686860484001949,6.264,757.591,2.109,137.0,1002.0,433.211
32,0.5806942996873248,0.05291429487693418,0.062294556241481606,0.26833961356530106,0.03575723562895855,6.839,743.671,2.097,136.0,996.0,428.327
33,0.582938775510204,0.05379591836734694,0.0626938775510204,0.2636734693877551,0.036897959183673466,6.498,785.836,2.114,138.0,996.0,416.606
34,0.5783992127275709,0.05363293422994915,0.06486796785304247,0.266114482532393,0.03698540265704444,6.381,792.43,2.111,138.0,997.0,427.35
35,0.5876221498371336,0.05260586319218241,0.06164495114006515,0.2616449511400652,0.03648208469055375,6.374,784.453,2.109,138.0,992.0,432.234
36,0.5857558139534884,0.05329457364341085,0.062984496124031,0.261547157622739,0.03641795865633075,6.099,789.337,2.254,136.0,1010.0,410.745
37,0.5857620640229336,0.0506450071667463,0.06235069278547539,0.26580665711100493,0.035435578913839784,6.59,784.208,2.261,135.0,1030.0,418.559
38,0.59274322169059,0.0518341307814992,0.06124401913875598,0.25885167464114833,0.03532695374800637,6.352,752.788,2.259,136.0,1040.0,433.211
39,0.579865556978233,0.05201664532650449,0.06225992317541615,0.27048655569782337,0.035371318822023046,6.623,756.777,2.262,136.0,1050.0,434.188
40,0.5870731707317073,0.052276422764227636,0.06146341463414634,0.2630081300813008,0.03617886178861788,6.593,787.709,2.25,136.0,1050.0,447.863
41,0.5818463293408296,0.05450989978000488,0.061517151470708055,0.2661940845758983,0.035932534832559274,6.516,813.187,2.312,137.0,1044.0,444.933
42,0.5799983632048449,0.053032163024797456,0.06309845322857845,0.26687945003682795,0.036991570504951304,6.26,780.22,2.303,137.0,1019.0,447.863
43,0.5847649918962722,0.0526742301458671,0.063290113452188,0.2623176661264181,0.03695299837925446,6.249,799.512,2.308,136.0,998.0,432.234
44,0.5842607313195548,0.051669316375198726,0.061367249602543715,0.2674880763116057,0.03521462639109697,6.176,785.836,2.307,135.0,1010.0,414.652
45,0.5861714737258,0.05175819834057684,0.06274199920979849,0.26369024101145794,0.03563808771236665,6.579,798.942,2.304,136.0,1021.0,419.536
46,0.5884136610277688,0.05106926268751995,0.06200127673156718,0.26276731567187994,0.03574848388126396,6.505,817.013,2.302,135.0,1025.0,412.698
47,0.582810236600676,0.0533558667310478,0.062449702237244484,0.26500885240624494,0.03637534202478673,6.703,801.221,2.31,135.0,1027.0,409.768
48,0.5825688073394495,0.05303396104941251,0.06381780138419442,0.26476742314501855,0.035812007081924994,6.381,790.151,2.308,136.0,1034.0,422.466
49,0.5841129164615132,0.05235516166092238,0.06277695716395865,0.2636632200886263,0.03709174462497949,6.238,782.499,2.305,136.0,1048.0,431.258
50,0.5825945506303376,0.05343635624237495,0.06311508743391624,0.2640910939406263,0.03676291175274502,6.696,802.442,2.304,136.0,1054.0,442.979
51,0.5777467793550505,0.05349963075408221,0.06351029785837367,0.2688110281447444,0.036432263887749235,6.227,802.523,2.302,135.0,1053.0,433.211
52,0.5879663056558363,0.05214600882470918,0.06073004412354592,0.2632170076213397,0.03594063377456879,6.139,801.791,2.311,135.0,1051.0,430.281
53,0.5808852957656288,0.0530697190426639,0.0620347394540943,0.26823020891699356,0.03578003682061955,5.945,803.419,2.304,136.0,1051.0,414.652
54,0.5832147937411095,0.05231547336810495,0.062351825509720245,0.26679310889837204,0.03532479848269322,6.154,787.546,2.258,137.0,1050.0,433.211
55,0.5897946186912912,0.050947301385129755,0.06264925967202674,0.26102531444037574,0.035583505811176565,6.659,814.896,2.255,138.0,1049.0,427.35
56,0.5851003330896093,0.05321309610853847,0.06426192217076936,0.2611909984564141,0.036233650174668945,6.165,808.628,2.258,138.0,1046.0,429.304
