,Iron_ore_mix_ratio,coke_ratio,quick_lime,returning_sinter,light_burning,time2,second_water,bed_depth,trolley_speed,flue_temp,ignition_temp,pressure_flue
0,0.586288223812622,0.05091086532205595,0.06148340923877684,0.2650455432661028,0.03627195836044242,2021-12-10T02:17:00.003000Z,6.385,764.428,2.368,161.0,933.0,483.028
1,0.5927455266780017,0.05149380616954092,0.06056189782203869,0.2584406120961865,0.03675815723423204,2021-12-10T02:18:00Z,6.48,747.334,2.359,162.0,916.0,491.819
2,0.5869001297016861,0.051394293125810626,0.061121919584954595,0.26329442282749677,0.03728923476005187,2021-12-10T02:19:00.001000Z,6.443,737.973,2.356,161.0,923.0,484.005
3,0.5879908750203683,0.05222421378523709,0.06045299006029005,0.26226169138015315,0.03707022975395144,2021-12-10T02:20:00.002000Z,6.271,768.417,2.349,162.0,905.0,491.819
4,0.582264271969211,0.05083386786401539,0.06061577934573445,0.2694034637588198,0.03688261706221937,2021-12-10T02:21:00Z,6.33,754.172,2.358,162.0,868.0,495.726
5,0.589284273380134,0.05067376744936658,0.06221253933672234,0.26046961994674417,0.037359799887033,2021-12-10T02:22:00.001000Z,6.322,753.114,2.358,159.0,854.0,498.657
6,0.5895991509510982,0.05192260592701446,0.06180096334394645,0.2596130296350723,0.03706425014286881,2021-12-10T02:23:00.002000Z,6.304,749.451,2.353,160.0,851.0,493.773
7,0.5867935176973313,0.04958477787632025,0.061759251793920826,0.26541965653470934,0.03644279609771829,2021-12-10T02:24:00.003000Z,6.256,763.696,2.359,160.0,851.0,493.773
8,0.5870618639961234,0.05047649814246487,0.06016798578581812,0.2656275238249071,0.03666612825068648,2021-12-10T02:25:00Z,6.194,766.789,2.359,158.0,851.0,489.866
9,0.5869391025641025,0.04959935897435898,0.06129807692307693,0.2654647435897436,0.03669871794871795,2021-12-10T02:26:00.001000Z,6.22,762.637,2.354,158.0,852.0,486.935
10,0.5831697742885181,0.050212626758259736,0.06068040562643114,0.2686457311089303,0.03729146221786065,2021-12-10T02:27:00.002000Z,6.223,760.114,2.364,157.0,854.0,487.912
11,0.586015001209775,0.05081054923784177,0.06016614243084121,0.26647310266957014,0.03653520445197194,2021-12-10T02:28:00.003000Z,6.187,784.778,2.359,158.0,858.0,484.982
12,0.5821414141414142,0.050989898989898995,0.06125252525252525,0.2686868686868687,0.03692929292929293,2021-12-10T02:29:00.004000Z,6.139,760.033,2.356,158.0,865.0,484.005
13,0.5810635538261998,0.05058365758754864,0.060554474708171206,0.2706712062256809,0.03712710765239948,2021-12-10T02:30:00Z,6.374,778.429,2.347,155.0,881.0,470.33
14,0.5852869846402586,0.051576394502829415,0.061600646725949865,0.26459175424413905,0.036944219886822956,2021-12-10T02:31:00.001000Z,6.3,787.302,2.353,155.0,886.0,473.26
15,0.5820725557182365,0.05132585000813405,0.06246949731576378,0.2672848544005205,0.03684724255734504,2021-12-10T02:32:00.002000Z,6.077,788.523,2.359,154.0,888.0,457.631
16,0.5824362606232295,0.050910562525293405,0.0611898016997167,0.2692836908134358,0.036179684338324566,2021-12-10T02:33:00Z,6.132,788.116,2.353,155.0,881.0,459.585
17,0.5834683954619125,0.05129659643435981,0.06166936790923825,0.2678282009724473,0.035737439222042144,2021-12-10T02:34:00.001000Z,6.158,764.347,2.359,154.0,898.0,467.399
18,0.5875480022877686,0.05016749734455429,0.060707574148214725,0.265054334504453,0.0365225917150094,2021-12-10T02:35:00.002000Z,6.454,764.672,2.35,154.0,918.0,463.492
19,0.5860472671160561,0.051165434906196704,0.060342727198895475,0.2654105417038902,0.03703402907496143,2021-12-10T02:36:00Z,6.293,784.453,2.349,153.0,937.0,467.399
20,0.591460456089277,0.04949053857350801,0.06097363739285137,0.26144266537279637,0.0366327025715672,2021-12-10T02:37:00Z,6.114,736.264,2.359,154.0,950.0,455.678
21,0.5911089399120665,0.05080605764533464,0.06082071323888618,0.25940400586223744,0.037860283341475336,2021-12-10T02:38:00Z,6.183,729.67,2.355,153.0,931.0,466.422
22,0.5930460333006856,0.05068560235063664,0.0629285014691479,0.25587659157688547,0.03746327130264447,2021-12-10T02:39:00Z,6.238,739.927,2.354,152.0,900.0,465.446
23,0.5870756646216769,0.050797546012269955,0.06241308793456033,0.26241308793456036,0.037300613496932526,2021-12-10T02:40:00Z,6.271,766.382,2.351,154.0,888.0,470.33
24,0.5880101001873422,0.05188563981428688,0.059623686568379894,0.26317504276289,0.037305530667101086,2021-12-10T02:41:00.001000Z,6.179,746.927,2.348,152.0,880.0,465.446
25,0.5824273892584779,0.05054356644491319,0.06230731786467628,0.2678890150900535,0.03683271134187894,2021-12-10T02:42:00Z,6.227,727.88,2.357,153.0,881.0,473.26
26,0.5874305946728896,0.05198358413132695,0.0609157479681339,0.2633781282690915,0.036291944958557976,2021-12-10T02:43:00.001000Z,6.216,738.299,2.358,153.0,877.0,473.26
27,0.5870504770447688,0.05235260539835276,0.061241131860066855,0.262170757563402,0.03718502813340944,2021-12-10T02:44:00Z,6.081,719.902,2.357,155.0,868.0,476.19
28,0.5863603268343985,0.05048135264137205,0.06156459833346816,0.2647844025564275,0.0368093196343338,2021-12-10T02:45:00.001000Z,6.147,713.879,2.364,154.0,849.0,470.33
29,0.5823303037746663,0.05215753705068369,0.06296569229509538,0.2652910832719233,0.037255383607631205,2021-12-10T02:46:00.002000Z,6.117,727.635,2.369,154.0,826.0,481.074
30,0.5934873092303925,0.05264016975434587,0.06112788704806986,0.2547947441442912,0.03794988982290052,2021-12-10T02:47:00.003000Z,6.117,707.123,2.365,155.0,812.0,484.982
