,Iron_ore_mix_ratio,coke_ratio,quick_lime,returning_sinter,light_burning,time2,second_water,bed_depth,trolley_speed,flue_temp,ignition_temp,pressure_flue
0,0.62542136,0.047274521,0.067170928,0.222478007,0.037655184,2021-12-26T02:17:00.002000Z,5.806,723.158,2.359,142,935,461.538
1,0.623553985,0.046352828,0.066195373,0.225899743,0.037998072,2021-12-26T02:18:00Z,5.857,734.554,2.359,140,936,464.469
2,0.624601813,0.047700727,0.06673201,0.223474639,0.037490811,2021-12-26T02:19:00Z,5.934,738.869,2.358,139,929,463.492
3,0.621731034,0.047850376,0.067282001,0.224435268,0.03870132,2021-12-26T02:20:00.001000Z,5.824,723.728,2.364,140,917,442.979
4,0.621530905,0.048055669,0.06753991,0.223986901,0.038886615,2021-12-26T02:21:00Z,6.011,761.905,2.354,139,910,451.77
5,0.623507125,0.048348571,0.067045548,0.221563298,0.039535458,2021-12-26T02:22:00.001000Z,5.835,743.264,2.359,138,914,462.515
6,0.621521489,0.049151984,0.066935617,0.223201054,0.039189857,2021-12-26T02:23:00Z,5.648,726.659,2.355,137,914,450.794
7,0.626393296,0.047189,0.066878204,0.220974697,0.038564804,2021-12-26T02:24:00.001000Z,6.051,755.474,2.358,137,920,457.631
8,0.629433778,0.047917345,0.06703547,0.217133095,0.038480312,2021-12-26T02:25:00Z,5.773,747.823,2.359,137,919,462.515
9,0.617288994,0.048369965,0.066508702,0.229675627,0.038156712,2021-12-26T02:26:00.001000Z,6,737.81,2.358,137,911,472.283
10,0.618695792,0.04673948,0.066013492,0.230485063,0.038066174,2021-12-26T02:27:00.002000Z,5.806,758.079,2.347,137,901,469.353
11,0.620019436,0.047700032,0.066326531,0.226838354,0.039115646,2021-12-26T02:28:00Z,5.542,721.856,2.358,135,895,466.422
12,0.62295755,0.047212415,0.067739552,0.222596272,0.039494211,2021-12-26T02:29:00Z,5.659,764.51,2.35,135,893,476.19
13,0.621202275,0.049147035,0.066693745,0.223395613,0.039561332,2021-12-26T02:30:00.001000Z,6.136,749.288,2.358,135,889,464.469
14,0.623101777,0.047092084,0.067285945,0.224959612,0.037560582,2021-12-26T02:31:00Z,5.927,741.88,2.351,136,888,469.353
15,0.616790123,0.048641975,0.067654321,0.22781893,0.03909465,2021-12-26T02:32:00Z,5.952,757.509,2.359,136,901,463.492
16,0.62230682,0.048112749,0.068200227,0.222825207,0.038554998,2021-12-26T02:33:00.001000Z,5.835,734.88,2.359,135,907,481.074
17,0.625288874,0.047045229,0.066523605,0.222680753,0.038461538,2021-12-26T02:34:00Z,5.993,756.532,2.355,138,904,468.376
18,0.625772941,0.048313958,0.066452304,0.220463352,0.038997444,2021-12-26T02:35:00.001000Z,5.872,751.241,2.356,138,903,469.353
19,0.629906542,0.047379114,0.067858594,0.215847217,0.039008533,2021-12-26T02:36:00.002000Z,5.777,747.334,2.355,138,921,465.446
20,0.622698387,0.048965292,0.066970833,0.223236109,0.038129379,2021-12-26T02:37:00.003000Z,5.85,765.324,2.358,138,935,458.608
21,0.626396592,0.045735873,0.067357929,0.223213568,0.037296037,2021-12-26T02:38:00Z,5.505,742.694,2.349,140,934,441.026
22,0.620894309,0.048861789,0.06796748,0.223658537,0.038617886,2021-12-26T02:39:00Z,5.612,748.962,2.357,139,940,446.886
23,0.622138653,0.048070634,0.067446043,0.223348594,0.038996076,2021-12-26T02:40:00.001000Z,5.696,764.265,2.356,140,935,430.281
24,0.625697407,0.047013456,0.068181818,0.22087299,0.038234329,2021-12-26T02:41:00.002000Z,5.579,719.088,2.358,139,923,458.608
25,0.624568611,0.048151191,0.065981923,0.221939195,0.03935908,2021-12-26T02:42:00.003000Z,5.674,731.136,2.353,140,918,451.77
26,0.625,0.046393443,0.066229508,0.223442623,0.038934426,2021-12-26T02:43:00Z,5.568,748.23,2.35,141,913,442.002
27,0.62558857,0.047410294,0.067299886,0.221220977,0.038480273,2021-12-26T02:44:00.001000Z,5.744,749.369,2.355,140,906,443.956
28,0.627901373,0.046743233,0.068588868,0.219661071,0.037105453,2021-12-26T02:45:00.002000Z,5.74,753.928,2.357,141,908,435.165
29,0.625479474,0.047253734,0.066024647,0.222720966,0.038521178,2021-12-26T02:46:00Z,5.495,764.591,2.357,143,913,456.654
