,Iron_ore_mix_ratio,coke_ratio,quick_lime,returning_sinter,light_burning,time2,second_water,bed_depth,trolley_speed,flue_temp,ignition_temp,pressure_flue
0,0.625576316,0.049179002,0.065194532,0.221871714,0.038178436,2021-12-28T02:17:00Z,5.355,769.149,2.392,146,951,576.801
1,0.627632959,0.048099427,0.065370027,0.220805423,0.038092164,2021-12-28T02:18:00.001000Z,4.938,761.091,2.399,148,941,571.917
2,0.620383693,0.049320544,0.064748201,0.227577938,0.037969624,2021-12-28T02:19:00Z,5.07,785.429,2.398,149,941,584.615
3,0.619639829,0.049180328,0.067431156,0.226197206,0.037551482,2021-12-28T02:20:00Z,4.828,764.265,2.404,149,937,576.801
4,0.620464967,0.048749095,0.067733891,0.225162899,0.037889148,2021-12-28T02:21:00.001000Z,5.289,774.603,2.411,149,953,567.033
5,0.615819209,0.049152542,0.06787732,0.228732849,0.038418079,2021-12-28T02:22:00Z,5.418,749.288,2.401,149,948,564.103
6,0.621101955,0.049038617,0.067296817,0.224268864,0.038293747,2021-12-28T02:23:00.001000Z,5.099,774.603,2.404,149,932,545.543
7,0.621101955,0.049038617,0.067296817,0.224268864,0.038293747,2021-12-28T02:24:00Z,5.099,774.603,2.404,149,932,545.543
8,0.614771433,0.048560273,0.067105905,0.230844314,0.038718074,2021-12-28T02:25:00Z,5.256,771.022,2.412,150,925,555.311
9,0.614438588,0.047995528,0.067401374,0.232311132,0.037853378,2021-12-28T02:26:00Z,5.615,760.195,2.405,151,917,560.195
10,0.620592497,0.048864917,0.066414426,0.225889551,0.038238609,2021-12-28T02:27:00Z,5.326,755.718,2.411,151,914,583.639
11,0.617523307,0.049665869,0.069796221,0.223661414,0.039353189,2021-12-28T02:28:00.001000Z,5.238,737.81,2.411,153,926,583.639
12,0.620487805,0.049837398,0.066666667,0.224552846,0.038455285,2021-12-28T02:29:00Z,5.52,757.916,2.399,154,932,564.103
13,0.623345559,0.048317653,0.065141126,0.225243183,0.03795248,2021-12-28T02:30:00.001000Z,5.853,744.648,2.401,154,928,584.615
14,0.617618508,0.050315483,0.068273742,0.22552985,0.038262417,2021-12-28T02:31:00Z,5.531,733.74,2.405,153,909,547.497
15,0.622202544,0.048381903,0.067702463,0.224279504,0.037433586,2021-12-28T02:32:00Z,5.355,749.451,2.4,154,903,567.033
16,0.622396668,0.049503364,0.067526434,0.222364627,0.038208907,2021-12-28T02:33:00Z,5.088,755.963,2.395,156,898,565.079
17,0.620875972,0.049283668,0.066803111,0.224559967,0.038477282,2021-12-28T02:34:00.001000Z,5.212,732.845,2.408,156,892,564.103
18,0.6198778,0.049694501,0.066802444,0.224439919,0.039185336,2021-12-28T02:35:00Z,5.033,753.439,2.405,156,893,573.871
19,0.618588697,0.049411957,0.068686704,0.224681477,0.038631166,2021-12-28T02:36:00Z,5.092,748.311,2.409,156,891,571.917
20,0.613948516,0.050991035,0.068673411,0.228226005,0.038161033,2021-12-28T02:37:00.001000Z,5.443,728.531,2.412,156,886,578.755
21,0.618531019,0.047653488,0.067582771,0.228142077,0.038090646,2021-12-28T02:38:00Z,5.615,751.974,2.404,155,885,568.01
22,0.615291262,0.049029126,0.067152104,0.2302589,0.038268608,2021-12-28T02:39:00.001000Z,5.451,748.474,2.402,155,883,580.708
23,0.619101762,0.049865995,0.066515065,0.225533988,0.038983188,2021-12-28T02:40:00Z,5.128,743.997,2.402,154,891,585.592
24,0.622856681,0.049902944,0.068586218,0.220559689,0.038094468,2021-12-28T02:41:00Z,5.553,746.846,2.412,153,893,580.708
