,Iron_ore_mix_ratio,coke_ratio,quick_lime,returning_sinter,light_burning,time2,second_water,bed_depth,trolley_speed,flue_temp,ignition_temp,pressure_flue
0,0.5890014471780028,0.04735488020582086,0.061665862678887275,0.2660395561987458,0.035938253738543174,2021-12-16T02:17:00.001000Z,6.429,771.591,2.299,157.0,845.0,494.75
1,0.5898099474322686,0.05030327537403963,0.06186817630408411,0.26162555600485243,0.03639304488475536,2021-12-16T02:18:00Z,6.212,795.93,2.308,156.0,830.0,489.866
2,0.5911249385950549,0.04961519567709186,0.06296053708858686,0.2593744882921238,0.03692484034714262,2021-12-16T02:19:00Z,6.216,792.918,2.308,156.0,824.0,498.657
3,0.5980610298792118,0.0474411951684679,0.06150667514303878,0.25707247298156394,0.03591862682771774,2021-12-16T02:20:00Z,6.216,785.022,2.304,154.0,818.0,485.958
4,0.5955906018667525,0.048680399098809134,0.061554554232378496,0.2584486643064049,0.03572578049565497,2021-12-16T02:21:00.001000Z,6.194,774.44,2.311,153.0,842.0,488.889
5,0.5887781770663182,0.04835021234890559,0.06060111074812153,0.2660078405749755,0.03626265926167919,2021-12-16T02:22:00Z,6.194,774.44,2.311,153.0,842.0,488.889
6,0.5887781770663182,0.04835021234890559,0.06060111074812153,0.2660078405749755,0.03626265926167919,2021-12-16T02:23:00.001000Z,6.322,783.069,2.309,154.0,879.0,489.866
7,0.5872260077169362,0.050734750841474434,0.06239225022576143,0.26360725720384204,0.036039734011985874,2021-12-16T02:24:00Z,6.256,797.965,2.306,152.0,888.0,486.935
8,0.6005979314802844,0.04726890756302521,0.061409179056237884,0.25412087912087916,0.03660310277957337,2021-12-16T02:25:00Z,6.26,779.65,2.312,151.0,902.0,483.028
9,0.6006757300297643,0.0481859866462875,0.059769930013675476,0.2550880862360228,0.036280267074249854,2021-12-16T02:26:00Z,6.355,783.964,2.311,151.0,916.0,476.19
10,0.5964954780361756,0.04828811369509044,0.06064276485788113,0.25815568475452194,0.03641795865633074,2021-12-16T02:27:00.001000Z,6.344,770.615,2.303,151.0,919.0,484.982
