,Iron_ore_mix_ratio,coke_ratio,quick_lime,returning_sinter,light_burning,time2,second_water,bed_depth,trolley_speed,flue_temp,ignition_temp,pressure_flue
0,0.588598343,0.052785447,0.061312327,0.258567484,0.038736398,2021-12-08T02:17:00Z,5.722,848.596,2.356,156,860,489.866
1,0.594194741,0.053147865,0.062716089,0.251668409,0.038272895,2021-12-08T02:18:00Z,5.634,818.478,2.357,157,878,477.167
2,0.598442893,0.051930331,0.060679027,0.249779276,0.039168473,2021-12-08T02:19:00Z,5.67,844.363,2.364,155,912,482.051
3,0.602852793,0.051206026,0.061703662,0.247455726,0.036781793,2021-12-08T02:20:00.001000Z,5.747,832.234,2.353,155,956,475.214
4,0.596785916,0.052733586,0.061697488,0.249939433,0.038843576,2021-12-08T02:21:00Z,5.722,778.917,2.359,156,979,476.19
5,0.599634224,0.05216285,0.061863868,0.24793257,0.038406489,2021-12-08T02:22:00Z,5.912,771.51,2.36,157,978,477.167
6,0.600448036,0.052484199,0.062965037,0.245779662,0.038323066,2021-12-08T02:23:00Z,5.736,794.872,2.363,157,964,474.237
7,0.608420064,0.050238673,0.060724626,0.243524532,0.037092104,2021-12-08T02:24:00.001000Z,5.744,774.278,2.353,157,923,476.19
8,0.607001426,0.051401869,0.061935688,0.243149058,0.036511959,2021-12-08T02:25:00.002000Z,5.623,790.558,2.354,156,899,474.237
9,0.609678192,0.051824643,0.061806276,0.238361415,0.038329474,2021-12-08T02:26:00Z,5.612,763.207,2.358,156,894,474.237
10,0.602525413,0.05138183,0.062023507,0.245790978,0.038278272,2021-12-08T02:27:00.001000Z,5.791,789.906,2.364,156,900,482.051
11,0.59567481,0.051501802,0.062394874,0.251742091,0.038686424,2021-12-08T02:28:00Z,5.773,797.884,2.355,157,900,477.167
12,0.591027308,0.053641092,0.062906372,0.25390117,0.038524057,2021-12-08T02:29:00.001000Z,5.78,776.72,2.357,156,927,473.26
13,0.600310153,0.053623898,0.062846882,0.244613124,0.038605942,2021-12-08T02:30:00.002000Z,5.813,795.279,2.357,157,968,475.214
14,0.597666449,0.051648172,0.064458225,0.247062663,0.039164491,2021-12-08T02:31:00.003000Z,5.747,847.212,2.362,155,996,469.353
15,0.593249288,0.052297682,0.061569744,0.253761692,0.039121594,2021-12-08T02:32:00Z,5.773,797.639,2.356,157,1003,465.446
16,0.595303867,0.052486188,0.062479688,0.250649984,0.039080273,2021-12-08T02:33:00.001000Z,5.788,797.07,2.358,158,982,472.283
17,0.596729126,0.054076266,0.063856016,0.245973044,0.039365549,2021-12-08T02:34:00.002000Z,5.766,759.544,2.353,156,965,462.515
18,0.595245875,0.052115667,0.062653161,0.251674563,0.038310734,2021-12-08T02:35:00Z,5.872,825.071,2.36,156,956,470.33
