,temp1,temp2,temp3,temp5,temp6,temp7,temp8,temp9,temp10,temp11,temp12,temp13,temp14,temp15,temp16,temp17,temp18,temp19,temp20,temp21,temp22,temp23,temp24,simulation_BTP,time1,BTP,BRP
0,104.0,106.0,94.0,89.0,93.0,85.0,85.0,71.0,86.0,79.0,80.0,58.0,84.0,97.0,144.0,257.0,358.0,407.0,479.0,472.0,439.0,449.0,455.0,85.94,2021-12-30T02:17:00Z,90.0,47.7377413902269
1,104.0,106.0,94.0,89.0,92.0,85.0,85.0,71.0,85.0,78.0,80.0,57.0,83.0,95.0,140.0,243.0,351.0,407.0,480.0,474.0,435.0,448.0,460.0,85.92,2021-12-30T02:18:00Z,90.0,32.580084123081505
2,104.0,105.0,94.0,90.0,91.0,84.0,85.0,71.0,85.0,78.0,80.0,57.0,82.0,92.0,138.0,230.0,336.0,404.0,480.0,478.0,435.0,444.0,461.0,85.98,2021-12-30T02:19:00Z,90.0,78.26239358298972
3,105.0,105.0,94.0,90.0,91.0,84.0,84.0,71.0,85.0,78.0,80.0,57.0,82.0,89.0,132.0,226.0,323.0,398.0,477.0,479.0,438.0,443.0,457.0,86.04,2021-12-30T02:20:00.001000Z,90.0,80.38895534336753
4,107.0,106.0,94.0,90.0,92.0,84.0,84.0,71.0,85.0,78.0,79.0,57.0,82.0,87.0,124.0,220.0,317.0,386.0,472.0,478.0,440.0,442.0,452.0,85.92,2021-12-30T02:21:00.002000Z,90.0,81.56603793860657
5,109.0,107.0,94.0,89.0,93.0,84.0,83.0,70.0,85.0,81.0,79.0,56.0,82.0,89.0,118.0,208.0,317.0,376.0,463.0,474.0,438.0,447.0,450.0,86.14,2021-12-30T02:22:00.003000Z,88.11994961703898,52.54437632310729
6,111.0,108.0,94.0,89.0,92.0,84.0,83.0,70.0,85.0,81.0,81.0,57.0,82.0,88.0,117.0,194.0,306.0,374.0,457.0,470.0,436.0,447.0,455.0,86.24,2021-12-30T02:23:00.004000Z,90.0,44.82379206980999
7,112.0,109.0,95.0,90.0,92.0,84.0,84.0,70.0,84.0,80.0,85.0,57.0,84.0,90.0,118.0,186.0,290.0,373.0,454.0,465.0,435.0,445.0,457.0,86.18,2021-12-30T02:24:00Z,90.0,63.74994026657306
8,112.0,110.0,96.0,90.0,92.0,84.0,84.0,70.0,84.0,79.0,85.0,59.0,84.0,95.0,117.0,188.0,280.0,364.0,451.0,463.0,430.0,444.0,453.0,86.32,2021-12-30T02:25:00Z,90.0,53.505879662877305
9,111.0,110.0,97.0,91.0,92.0,83.0,84.0,70.0,84.0,79.0,83.0,60.0,87.0,95.0,121.0,190.0,282.0,355.0,447.0,461.0,430.0,441.0,450.0,86.18,2021-12-30T02:26:00.001000Z,90.0,39.701745530172694
