,Iron_ore_mix_ratio,coke_ratio,quick_lime,returning_sinter,light_burning,time2,second_water,bed_depth,trolley_speed,flue_temp,ignition_temp,pressure_flue
0,0.0,0.0,0.0,0.0,0.0,2021-12-06T02:17:00.003000Z,3.245,535.043,0.021,184.0,293.0,-123.565
1,0.0,0.0,0.0,0.0,0.0,2021-12-06T02:18:00.004000Z,2.59,521.53,0.017,185.0,291.0,-118.681
2,0.0,0.0,0.0,0.0,0.0,2021-12-06T02:19:00Z,2.26,536.589,0.023,182.0,289.0,-120.635
3,0.0,0.0,0.0,0.0,0.0,2021-12-06T02:20:00.001000Z,2.201,534.636,0.017,184.0,287.0,-115.751
4,0.0,0.0,0.0,0.0,0.0,2021-12-06T02:21:00.002000Z,2.216,557.672,0.02,180.0,285.0,-119.658
5,0.0,0.0,0.0,0.0,0.0,2021-12-06T02:22:00Z,2.19,537.973,0.015,180.0,283.0,-123.565
6,0.0,0.0,0.0,0.0,0.0,2021-12-06T02:23:00Z,2.176,565.079,0.016,177.0,282.0,-116.728
7,0.0,0.0,0.0,0.0,0.0,2021-12-06T02:24:00Z,2.227,524.217,0.018,179.0,280.0,-119.658
8,0.0,0.0,0.0,0.0,0.0,2021-12-06T02:25:00.001000Z,2.223,529.263,0.015,178.0,279.0,-123.565
9,0.0,0.0,0.0,0.0,0.0,2021-12-06T02:26:00Z,2.223,529.263,0.015,178.0,279.0,-123.565
10,0.0,0.0,0.0,0.0,0.0,2021-12-06T02:27:00Z,2.201,534.88,0.015,174.0,277.0,-114.774
11,0.0,0.0,0.0,0.0,0.0,2021-12-06T02:28:00.001000Z,2.198,542.532,0.02,174.0,276.0,-119.658
12,0.0,0.0,0.0,0.0,0.0,2021-12-06T02:29:00Z,2.212,557.346,0.017,175.0,274.0,-116.728
13,0.0,0.0,0.0,0.0,0.0,2021-12-06T02:30:00.001000Z,2.201,547.66,0.016,172.0,273.0,-114.774
14,0.0,0.0,0.0,0.0,0.0,2021-12-06T02:31:00Z,2.216,544.892,0.023,171.0,272.0,-112.821
15,0.0,0.0,0.0,0.0,0.0,2021-12-06T02:32:00.001000Z,2.205,542.694,0.02,172.0,271.0,-112.821
16,0.0,0.0,0.0,0.0,0.0,2021-12-06T02:33:00Z,2.198,539.683,0.0,171.0,270.0,-109.89
17,0.0,0.0,0.0,0.0,0.0,2021-12-06T02:34:00.001000Z,2.201,541.311,0.0,170.0,269.0,-105.006
18,0.0,0.0,0.0,0.0,0.0,2021-12-06T02:35:00Z,2.179,541.148,0.0,170.0,267.0,-115.751
