,0,1,2,3,4,5,6
0,78.68727,78.4638,79.90724,78.326485,78.51622,77.775734,78.62311
1,66.84112,67.295975,69.140816,66.56398,66.21101,65.4977,66.43504
2,56.57876,57.815056,60.05979,56.807655,55.750698,55.16838,56.161488
3,46.512856,48.509235,51.176746,47.27016,45.51023,45.069733,46.125805
4,36.539196,39.28806,42.388424,37.837654,35.374813,35.07736,36.20044
5,26.620962,30.113258,33.649498,28.460903,25.30006,25.147858,26.339312
6,16.761711,20.980614,24.95052,19.135738,15.291853,15.284832,16.540663
7,7.1015606,11.536681,16.294668,9.910834,5.6365376,5.7517843,6.9541225
8,1.6397159,3.2122235,7.7790265,2.4977677,1.531151,1.5380912,1.6285721
9,1.5165446,1.5166174,1.9140754,1.5167464,1.5167925,1.5167277,1.516427
10,1.510824,1.5169666,1.5190701,1.5173253,1.513962,1.5164108,1.5118649
11,0.8230904,0.9848139,1.0894051,1.1341012,1.1203922,1.4744536,1.4337475
12,0.49284285,0.59710556,0.65305364,0.6874105,0.75423324,0.96641845,1.2108754
13,0.4627211,0.5650526,0.58962226,0.6250073,0.67094207,0.7774962,0.8727666
14,0.4512729,0.5433433,0.55666643,0.59313536,0.6358508,0.71470076,0.7640416
15,0.43935007,0.516271,0.535776,0.5700621,0.60954887,0.6714773,0.728649
16,0.42651013,0.49047008,0.51741385,0.54955935,0.5877746,0.6371851,0.6950835
17,0.416177,0.47832546,0.5068975,0.5410038,0.5762935,0.6249306,0.6831996
18,0.41180876,0.4678861,0.49324867,0.52809083,0.5602207,0.6076068,0.66341865
19,0.410221,0.465904,0.49075985,0.5241904,0.554701,0.5984497,0.65808916
20,0.40908027,0.4601024,0.4833234,0.51378477,0.54343337,0.58862627,0.6453699
21,0.40534347,0.45566317,0.47782877,0.5072682,0.5348209,0.5784615,0.63683134
22,0.40255606,0.45338053,0.47594002,0.50608355,0.53232425,0.5734975,0.62851757
23,0.40118343,0.4499652,0.472836,0.4990652,0.5217681,0.5668092,0.62340707
24,0.40087196,0.44961876,0.4701039,0.4952643,0.51659274,0.5605748,0.6193382
25,0.39765137,0.4453961,0.46736827,0.48991165,0.51156044,0.5524581,0.6103352
26,0.39560804,0.4423957,0.46284515,0.4857785,0.50732005,0.5494929,0.6061372
27,0.39510742,0.44102585,0.45807666,0.47845048,0.49822095,0.53990895,0.5960201
28,0.39337578,0.44016418,0.45668235,0.4786074,0.49756187,0.5388322,0.5953566
29,0.3915151,0.4390183,0.4550765,0.477336,0.49280593,0.53261966,0.5902655
30,0.38949168,0.43724075,0.45175204,0.47207212,0.48651767,0.53011507,0.5862347
31,0.38977107,0.43526196,0.45046255,0.47021842,0.48095316,0.5221718,0.5766829
32,0.3883314,0.4341688,0.44924566,0.4657355,0.47796687,0.5170294,0.5757549
33,0.38601875,0.43423757,0.44784018,0.46532953,0.4748316,0.5151852,0.5753839
34,0.38411278,0.43229872,0.44600752,0.46392787,0.47321987,0.512591,0.57213926
35,0.38362253,0.42904016,0.44156674,0.46043018,0.46838817,0.50763077,0.56403893
36,0.3821096,0.42754245,0.43979958,0.45782155,0.46654838,0.50365764,0.5622835
37,0.38304523,0.42805496,0.43974566,0.45697504,0.46456134,0.5034419,0.5614874
38,0.38095456,0.42500335,0.43639788,0.4531526,0.46110135,0.49744004,0.55828446
39,0.3800893,0.42611575,0.43640748,0.45349067,0.45618704,0.4949247,0.5545152
40,0.37912533,0.4253886,0.43331215,0.45264307,0.45849863,0.49345353,0.55529344
41,0.37861672,0.42233762,0.43340823,0.44885662,0.45369762,0.48975638,0.54936945
42,0.376985,0.4227001,0.43334976,0.45183578,0.45570284,0.48999208,0.5531729
43,0.37725505,0.4205725,0.43071544,0.44503397,0.4490865,0.48599005,0.5446878
44,0.3762279,0.42217225,0.42866793,0.4438953,0.4462693,0.48083067,0.5420025
45,0.37602484,0.41844407,0.42539936,0.44153103,0.44460475,0.47928873,0.53946143
46,0.37266052,0.41836354,0.42492825,0.44261208,0.44361466,0.47976714,0.54100347
47,0.3743705,0.41795868,0.42536983,0.440079,0.4410195,0.47395167,0.53571445
48,0.37363282,0.41569337,0.42405584,0.4372333,0.43914896,0.47204128,0.53668135
