,0
0,87.49104
1,87.759155
2,87.53235
3,87.66601
4,87.84211
5,87.35558
6,87.601036
7,87.53694
8,87.86564
9,87.68855
10,87.7809
11,87.99322
12,87.47548
13,87.731926
14,87.58473
15,87.83205
16,87.5926
17,87.68227
18,87.752846
19,87.361305
20,87.577385
21,87.34542
22,87.57811
23,87.367256
24,87.49991
25,87.7188
26,87.2763
27,87.63612
28,87.49521
29,87.75947
30,87.5774
31,87.69156
32,87.82568
33,87.33194
34,87.58545
35,87.23655
36,87.42121
37,87.23786
38,87.34689
39,87.59266
40,87.054634
41,87.29486
42,87.4455
43,87.67289
44,87.42917
45,87.51067
46,87.69264
47,87.16549
48,87.44
49,87.48142
50,87.6272
51,87.32834
52,87.39084
53,87.53432
54,86.99247
55,87.23178
56,87.29356
57,87.40921
58,87.21534
59,87.328255
60,87.521034
61,86.96282
62,87.175476
63,87.28551
64,87.34128
65,87.1127
66,87.20857
67,87.359795
68,86.74317
69,86.955666
70,87.44175
71,87.42629
72,87.20656
73,87.31012
74,87.595955
75,87.008644
76,87.19274
77,87.089066
78,87.117744
79,86.792984
80,86.872734
81,87.08596
82,86.473526
83,86.69668
84,87.03192
85,87.02018
86,86.7775
87,86.95176
88,87.12176
89,86.36057
90,86.59262
91,86.797005
92,86.76399
93,86.56859
94,86.71667
95,86.85203
96,86.234535
97,86.51146
98,86.91109
99,86.796036
100,86.56615
101,86.81219
102,86.95177
103,86.22885
104,86.433044
105,86.91789
106,86.71044
107,86.35087
108,86.534294
109,86.78879
110,85.99023
111,86.21444
112,86.94175
113,86.80657
114,86.413025
115,86.44487
116,86.71096
117,85.897865
118,86.12834
119,86.91168
120,86.58194
121,86.111305
122,86.244095
123,86.522415
124,85.48405
125,85.80306
126,86.716125
127,86.41154
128,85.9402
129,86.088196
130,86.373375
131,85.497604
132,85.82538
133,86.927376
134,86.541565
135,85.9613
136,86.15082
137,86.31044
138,85.29323
139,85.54889
140,86.675804
141,86.27468
142,85.681496
143,85.80343
144,86.02642
145,85.05599
146,85.33142
147,86.45058
148,86.004005
149,85.46041
150,85.623474
151,85.78255
152,84.90902
153,85.124374
154,86.39514
155,85.82161
156,85.060936
157,85.23562
158,85.49628
159,84.43815
160,84.74655
161,86.20768
162,85.5184
163,84.875786
164,84.99762
165,85.223404
166,84.27056
167,84.49247
168,86.28439
169,85.425415
170,84.74402
171,84.90981
172,85.0983
173,83.944885
174,84.20079
175,86.077225
176,85.352295
177,84.64618
178,84.779526
179,85.06678
180,84.04817
181,84.33339
182,85.73766
183,84.92477
184,84.129364
185,84.322716
186,84.55696
187,83.463776
188,83.71006
189,85.929146
190,84.98569
191,84.29459
192,84.501335
193,84.79172
194,83.6477
195,83.8939
196,85.72715
197,84.721275
198,83.93733
199,84.087875
200,84.286896
201,83.14288
202,83.29889
203,85.577225
204,84.55881
205,83.85553
206,84.05342
207,84.37155
208,83.115456
209,83.23322
210,85.44122
211,84.27188
212,83.58156
213,83.8405
214,84.12467
215,82.863815
216,82.954834
217,85.011856
218,83.814445
219,83.130295
220,83.47902
221,83.750885
222,82.45027
223,82.45183
224,85.07582
225,83.804085
226,83.09207
227,83.29922
228,83.64931
229,82.32198
230,82.33047
231,84.85564
232,83.6035
