,0,1,2,3,4,5,6
0,79.35113,80.53471,82.47831,81.92988,81.54673,82.10125,81.25599
1,68.71367,70.77124,74.74713,73.714134,72.79057,73.95033,70.451645
2,59.400337,62.086594,67.95439,66.62379,64.84787,67.124626,61.583313
3,50.18448,53.332554,61.28636,59.783493,56.820366,60.45883,52.539883
4,40.97809,44.390553,54.681065,53.03173,48.65895,53.746254,43.77432
5,31.744394,35.26024,48.101364,46.31928,40.32438,46.96461,35.08661
6,22.475294,25.995844,41.541122,39.634735,31.864803,40.12807,26.441246
7,13.205766,16.668247,34.993618,32.96924,23.346107,33.220608,17.834915
8,4.4134355,7.468628,28.460337,26.32267,14.868185,26.236757,9.325971
9,0.9568147,1.2896435,21.940777,19.695162,7.2029095,19.506922,2.4669702
10,0.65071046,0.6861371,15.44428,13.102156,2.3826299,13.290492,1.516303
11,0.61350465,0.64921796,9.014449,6.6415143,1.5316155,7.183019,1.515705
12,0.56773853,0.5973816,3.2364395,1.8436035,1.5225885,2.3022707,1.5153427
13,0.54934776,0.5682675,1.1066818,0.74288476,1.2936493,1.517303,1.4992102
14,0.5195661,0.5335418,0.6147048,0.6193857,0.8447551,1.329164,1.2404212
15,0.4956602,0.50541806,0.5559554,0.5892126,0.692941,0.86986774,0.8778082
16,0.45892784,0.4795924,0.5215865,0.5569734,0.63397837,0.7276258,0.77978075
17,0.4302056,0.4679451,0.5095616,0.54314065,0.6030071,0.68501735,0.727688
18,0.41891235,0.45974797,0.5004104,0.52975595,0.5798364,0.65199244,0.69485307
19,0.40826726,0.45409167,0.49053544,0.5180149,0.5652396,0.63227403,0.6724383
20,0.40668648,0.44960293,0.48399577,0.5063031,0.5509945,0.6103754,0.6576484
21,0.39905685,0.4460585,0.47649667,0.49761546,0.5426219,0.5984185,0.6406955
22,0.39648834,0.44243675,0.47168437,0.48960626,0.5331867,0.5858007,0.63047457
23,0.39270034,0.43745762,0.46670467,0.48627698,0.5289436,0.5815762,0.62279963
