,0,1,2,3,4,5,6
0,77.48631,79.7436,80.021904,80.61864,79.645134,79.17112,79.246826
1,66.71223,70.44303,71.14411,72.38456,70.10162,69.19865,69.63014
2,56.679565,62.10757,63.15886,64.6994,60.836887,59.958706,60.64461
3,46.81112,53.89375,55.35853,57.016052,51.87619,50.8525,51.899776
4,37.03515,45.716366,47.616016,49.450726,43.11655,41.857273,43.263554
5,27.309906,37.560528,39.11048,41.649296,34.548862,32.577023,34.680912
6,17.632084,29.44778,30.318058,34.07186,25.668335,23.567951,26.137487
7,8.107476,21.357721,21.897015,26.531496,16.915781,14.649986,17.632141
8,1.8369561,13.311339,13.621539,19.022072,8.325347,6.0011606,9.226296
9,1.5162342,5.5304117,5.6564803,11.572342,2.0697787,1.5825269,2.4664435
10,1.517114,1.6234168,1.590509,4.5399513,1.5334303,1.5214474,1.5218571
11,1.5159769,1.5160475,1.5160294,1.5420613,1.5163014,1.5162517,1.5159523
12,1.5161746,1.5160941,1.5162661,1.5157031,1.5154963,1.5156728,1.5152825
13,1.5157226,1.5162843,1.5164185,1.5162637,1.5163753,1.5164598,1.516051
14,1.5159595,1.5158691,1.515843,1.5160292,1.5168089,1.5165937,1.516799
15,1.5155567,1.5156572,1.5155443,1.5157439,1.515293,1.5153455,1.515658
16,1.5171243,1.5165874,1.5162567,1.5160693,1.515979,1.516565,1.516895
17,1.5172595,1.5171216,1.5173471,1.5169111,1.5169026,1.5168767,1.5169666
18,1.516384,1.5161119,1.515928,1.5162437,1.5166752,1.5162469,1.5165504
19,1.5156398,1.515831,1.515785,1.5153843,1.5157762,1.5157907,1.5160601
20,1.5164763,1.5165273,1.5167153,1.5167755,1.5164214,1.5166749,1.516838
21,1.5151776,1.5151623,1.51542,1.515627,1.5154197,1.5155244,1.5152696
22,1.5165422,1.5166473,1.5168163,1.5169477,1.5168667,1.5168436,1.5168556
23,1.5166302,1.5166966,1.5167128,1.51665,1.5165343,1.516354,1.5162543
24,1.5184264,1.5180726,1.5177579,1.5179794,1.5176107,1.517583,1.5174893
25,1.5148017,1.5152023,1.5155482,1.516548,1.5161021,1.5167848,1.5160269
26,1.5171659,1.5169398,1.5168606,1.5163877,1.5173234,1.5172778,1.5171633
27,1.5162462,1.5157703,1.5160675,1.515836,1.516398,1.5162984,1.5164403
28,1.5168152,1.5165253,1.5168428,1.5165529,1.5172093,1.517109,1.5170835
29,1.517005,1.5169107,1.5167973,1.5166204,1.5164295,1.5167214,1.5169277
30,1.5167247,1.5163862,1.5170522,1.516834,1.5166217,1.5164751,1.5160904
31,1.5167813,1.5169128,1.516711,1.5170383,1.516962,1.5168917,1.5166613
32,1.5172278,1.5170817,1.5170001,1.5169108,1.5173366,1.5171214,1.5166636
33,1.5170147,1.5168002,1.516304,1.5156909,1.5160244,1.5162537,1.5166565
34,1.5171796,1.5166513,1.5160649,1.5155658,1.515876,1.5156851,1.515607
35,1.5160279,1.5152841,1.515105,1.514749,1.5148066,1.5147835,1.5152313
36,1.5153251,1.5152087,1.5155907,1.515262,1.5153055,1.5157672,1.5153531
37,1.5169648,1.5165342,1.516302,1.5162371,1.5169269,1.5168189,1.5170059
38,1.5172077,1.5164108,1.5163757,1.5160072,1.5158906,1.515984,1.5158136
39,1.51662,1.5167366,1.516551,1.51645,1.5173682,1.5167928,1.5167524
40,1.5162169,1.5163724,1.5165932,1.5158522,1.5163602,1.516618,1.5168208
