,index,others,海通期货,国泰君安,中信期货,东证期货,银河期货,兴证期货,广发期货,华泰期货,方正中期,申万期货,国投安信,国信期货,上海中期,徽商期货,光大期货,新湖期货,永安期货,宏源期货,中信建投,南华期货,金瑞期货,中融汇信,东方财富,长江期货,平安期货,国富期货,西部期货,瑞达期货,华闻期货,鲁证期货,招金期货,中银国际,浙商期货,中辉期货,华鑫期货,铜冠金源,招商期货,同信久恒,华安期货,齐盛期货,经易期货,弘业期货,五矿经易,宝城期货,建信期货,五矿期货,瑞龙期货,东航期货,中证期货,roll_yield,spot_price,near_contract_price,dominant_contract_price,near_basis,dom_basis,near_basis_rate,dom_basis_rate,label
434,435,148410.0,6172.0,5851.0,10453.0,8848.0,4578.0,7488.0,5760.0,0.0,4954.0,6899.0,0.0,0.0,0.0,0.0,3309.0,2955.0,0.0,10545.0,0.0,3517.0,3317.0,33535.0,0.0,9401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3550.0,0.0,3268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11020.0,0.0,0.0,0.0,-0.02746038562380404,235.15,235.1,235.9,-0.05000000000001137,0.75,-0.0002126302360195842,0.00318945354029343,0.2755404832556192
435,436,233036.0,7880.0,10136.0,10766.0,16545.0,6923.0,11160.0,8661.0,0.0,4977.0,7525.0,0.0,0.0,3848.0,3417.0,4345.0,8666.0,6281.0,32217.0,0.0,0.0,5288.0,42139.0,0.0,24074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14114.0,0.0,0.0,0.0,-0.0399036037945262,237.15,237.6,238.5,0.44999999999998863,1.3499999999999943,0.00189753320683117,0.005692599620493288,1.0901467505241065
436,437,125943.0,5549.0,4106.0,7013.0,9518.0,4987.0,6157.0,4226.0,0.0,3227.0,3678.0,0.0,0.0,2570.0,0.0,2528.0,2839.0,2388.0,15792.0,0.0,0.0,3424.0,24251.0,0.0,9359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8196.0,0.0,0.0,0.0,-0.03992312826269663,237.29,237.25,238.2,-0.03999999999999204,0.9099999999999966,-0.0001685701040919918,0.0038349698680939515,-0.1259445843828763
437,438,186621.0,7202.0,6603.0,9090.0,7715.0,6947.0,8381.0,7843.0,0.0,5967.0,8325.0,0.0,0.0,0.0,5126.0,6927.0,8390.0,0.0,22783.0,3557.0,0.0,3702.0,39613.0,0.0,7284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9961.0,0.0,0.0,0.0,-0.03502716498541671,237.09,236.85,237.85,-0.2400000000000091,0.7599999999999909,-0.00101227382006841,0.003205533763549706,-0.1471515661130941
438,439,135898.0,5439.0,4618.0,9553.0,11221.0,6379.0,10394.0,3534.0,0.0,3972.0,6594.0,0.0,0.0,2723.0,2861.0,0.0,2938.0,0.0,3888.0,0.0,5006.0,0.0,30626.0,0.0,8331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7473.0,0.0,3010.0,0.0,-0.0404137462152686,235.88,236.7,237.75,0.8199999999999932,1.8700000000000045,0.0034763439036797905,0.00792775987790395,-0.04206098843322579
439,440,99712.0,4418.0,4065.0,8837.0,3276.0,4010.0,7760.0,0.0,0.0,0.0,5695.0,0.0,0.0,2608.0,2949.0,3139.0,4142.0,0.0,6756.0,0.0,0.0,0.0,20792.0,0.0,0.0,0.0,0.0,0.0,3134.0,0.0,0.0,0.0,0.0,0.0,0.0,4028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2810.0,0.0,0.0,0.0,-0.018525178031373324,234.72,235.25,236.5,0.5300000000000011,1.7800000000000011,0.0022580095432855884,0.007583503749147846,-0.5285412262156448
440,441,223291.0,5826.0,6839.0,15104.0,8593.0,12719.0,19281.0,7959.0,0.0,7375.0,12705.0,0.0,0.0,6730.0,6061.0,8509.0,15623.0,0.0,11142.0,0.0,0.0,0.0,38150.0,0.0,6857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6303.0,0.0,7384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13892.0,0.0,0.0,0.0,-0.022036882705512822,227.9,230.4,232.2,2.5,4.299999999999983,0.010969723562966216,0.018867924528301883,-1.851851851851857
441,442,337894.0,8486.0,12361.0,17501.0,13644.0,13859.0,20354.0,15983.0,0.0,15858.0,12779.0,0.0,0.0,9517.0,6700.0,10560.0,12629.0,0.0,0.0,0.0,0.0,6644.0,52698.0,0.0,49842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23607.0,0.0,0.0,0.0,-0.015940282757351442,238.26,238.35,238.25,0.09000000000000341,-0.009999999999990905,0.00037773860488532485,-4.197095609836943e-05,2.539349422875136
442,443,198553.0,5396.0,7133.0,12000.0,0.0,8014.0,11911.0,7704.0,0.0,6328.0,8075.0,0.0,0.0,4193.0,4761.0,5424.0,7524.0,0.0,0.0,0.0,0.0,0.0,38699.0,0.0,24171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5421.0,0.0,13294.0,0.0,5837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12176.0,0.0,0.0,0.0,-0.01688399266289243,237.85,237.4,239.3,-0.44999999999998863,1.450000000000017,-0.001891948707168356,0.00609627916754274,0.43877977434183507
443,444,159763.0,3883.0,7157.0,10050.0,3825.0,5738.0,8204.0,5880.0,0.0,3922.0,6757.0,0.0,0.0,0.0,5430.0,4343.0,0.0,4394.0,0.0,0.0,0.0,0.0,29154.0,0.0,20808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10156.0,0.0,0.0,0.0,-0.015910561689060906,239.08,238.5,240.75,-0.5800000000000125,1.6699999999999875,-0.0024259662037812157,0.00698510958674925,0.6022845275181676
