,0,1,2,3,4,5,6
0,0.5423198,0.6480696,0.7149471,0.7719478,0.82197356,0.8638798,0.9014325
1,0.42762247,0.55107975,0.6318772,0.69780445,0.7566164,0.80450934,0.8402347
2,0.40509295,0.52955097,0.6134046,0.68250895,0.74268764,0.7926394,0.82919484
3,0.3932568,0.5181759,0.6033465,0.67455447,0.73510873,0.78663504,0.81889576
4,0.38537458,0.50944227,0.59785944,0.6699827,0.7308818,0.78085786,0.816676
5,0.38050523,0.50391823,0.59518737,0.6651767,0.7268581,0.7765083,0.8124008
6,0.3750974,0.49923033,0.58866024,0.66137683,0.7209437,0.7714573,0.80740774
7,0.37101758,0.4957683,0.58591425,0.65713,0.7175389,0.7677076,0.8063383
8,0.36767852,0.490797,0.5822761,0.65593004,0.71680284,0.76645637,0.8070673
9,0.36213937,0.48644412,0.57808894,0.651274,0.71241003,0.7623239,0.80153245
10,0.36288804,0.48561248,0.57594377,0.6477353,0.7089914,0.75888383,0.79825693
11,0.35894263,0.48292932,0.57497793,0.6466189,0.7078959,0.7571991,0.79550654
12,0.35609144,0.47719187,0.56924605,0.6431855,0.7045358,0.7555557,0.7954666
13,0.35584065,0.47833735,0.5698624,0.6416541,0.70258653,0.75391835,0.7927416
14,0.35239252,0.47463822,0.5665926,0.6395973,0.7021045,0.75258887,0.79321206
15,0.35235536,0.47503868,0.5671167,0.6403576,0.70104074,0.7507408,0.7922505
16,0.35238346,0.4740447,0.5662328,0.63919044,0.6994723,0.7511924,0.7904923
17,0.34998992,0.4727741,0.56540054,0.6380929,0.69758713,0.74788207,0.7883998
18,0.34736302,0.47017628,0.5611279,0.63401324,0.69608814,0.7477448,0.7879667
19,0.34863177,0.4696656,0.5622488,0.63388956,0.69482404,0.7456769,0.78543
20,0.3484153,0.46974865,0.56189084,0.633618,0.6946175,0.74506366,0.7868978
21,0.3466162,0.46757495,0.5598648,0.6327037,0.69416326,0.7437129,0.78333783
22,0.34537697,0.46547508,0.5583374,0.6312868,0.6930038,0.74287575,0.78423023
23,0.34583738,0.46610728,0.55774593,0.63063216,0.69162184,0.7426487,0.78170186
24,0.3448747,0.4658901,0.55535614,0.6296019,0.69075197,0.740972,0.7811336
25,0.34512785,0.46466804,0.5570867,0.6296951,0.6902771,0.74191725,0.78141224
26,0.34296086,0.4636393,0.553522,0.62625754,0.68672955,0.73821604,0.77826357
27,0.34314537,0.46344513,0.55583113,0.62763435,0.68914366,0.73943996,0.7796246
28,0.3445498,0.46300083,0.5539659,0.6260599,0.687327,0.73707247,0.7780568
29,0.34192184,0.46046093,0.55361325,0.6261038,0.68698204,0.7377594,0.7783918
30,0.34305185,0.46241,0.5537753,0.6260889,0.68673956,0.73778164,0.7773185
31,0.34124118,0.45939544,0.5519921,0.62416065,0.68365604,0.7348414,0.77435875
32,0.3431775,0.46120983,0.55304605,0.6258085,0.68626714,0.73742384,0.7758435
